City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tamanrasset,22.785,5.5228,282.1,37,0,2.06,DZ,1731480255
1,bethel,41.3712,-73.414,275.49,61,0,0.89,US,1731480257
2,okhotsk,59.3833,143.3,258.63,70,11,7.16,RU,1731480258
3,basco,20.4487,121.9702,299.98,89,65,6.5,PH,1731480259
4,fort st. john,56.2499,-120.8529,266.09,93,75,2.06,CA,1731480260
5,port-aux-francais,-49.35,70.2167,277.23,69,22,6.48,TF,1731480261
6,banda aceh,5.5577,95.3222,302.3,71,96,2.76,ID,1731480262
7,anadyr,64.75,177.4833,270.43,79,75,6.0,RU,1731480263
8,callao,-12.0667,-77.15,292.44,77,100,3.6,PE,1731480203
9,whitehorse,60.7161,-135.0538,267.58,100,100,1.03,CA,1731480266
10,grytviken,-54.2811,-36.5092,270.81,79,87,3.39,GS,1731480268
11,tshikapa,-6.4167,20.8,300.4,65,88,1.71,CD,1731480269
12,west island,-12.1568,96.8225,302.14,74,20,6.69,CC,1731480270
13,severo-yeniseyskiy,60.3725,93.0408,257.23,89,100,5.01,RU,1731480271
14,port douglas,-16.4833,145.4667,299.56,69,56,2.42,AU,1731480272
15,blackmans bay,-43.0167,147.3167,291.22,58,18,5.39,AU,1731480273
16,talnakh,69.4865,88.3972,251.43,98,100,0.55,RU,1731480274
17,iqaluit,63.7506,-68.5145,256.0,77,40,5.14,CA,1731480275
18,hawaiian paradise park,19.5933,-154.9731,296.41,89,40,0.45,US,1731480276
19,xining,36.6167,101.7667,282.26,58,4,3.07,CN,1731480277
20,puerto ayora,-0.7393,-90.3518,295.12,87,33,2.68,EC,1731480279
21,vorkuta,67.5,64.0,246.06,100,96,1.32,RU,1731480280
22,grand falls-windsor,48.9332,-55.6649,276.76,92,100,3.58,CA,1731480281
23,adamstown,-25.066,-130.1015,294.29,82,95,5.22,PN,1731480282
24,alice springs,-23.7,133.8833,304.9,20,8,4.63,AU,1731480283
25,maues,-3.3836,-57.7186,298.64,69,13,0.91,BR,1731480284
26,nagqu,31.5,92.0,277.0,13,95,6.59,CN,1731480285
27,sanming,26.2486,117.6186,295.71,81,100,1.36,CN,1731480286
28,greenville,35.6127,-77.3663,281.55,84,0,1.54,US,1731480010
29,uturoa,-16.7333,-151.4333,299.19,79,96,6.98,PF,1731480288
30,olonkinbyen,70.9221,-8.7187,269.48,72,100,11.75,SJ,1731480289
31,ushuaia,-54.8,-68.3,280.96,93,100,1.03,AR,1731480291
32,los frentones,-26.4077,-61.4137,287.79,50,1,1.65,AR,1731480292
33,hovd,48.0056,91.6419,275.54,18,89,2.62,MN,1731480293
34,pokhvistnevo,53.6524,52.1274,273.32,79,100,4.57,RU,1731480294
35,tiksi,71.6872,128.8694,249.74,100,91,1.54,RU,1731480295
36,waitangi,-43.9535,-176.5597,284.72,78,2,0.89,NZ,1731480296
37,hasaki,35.7333,140.8333,290.02,51,16,7.82,JP,1731480297
38,mayya,61.7333,130.2811,253.92,99,29,2.07,RU,1731480298
39,camacupa,-12.0167,17.4833,291.4,88,100,0.85,AO,1731480299
40,puerto baquerizo moreno,-0.9,-89.6,293.79,76,41,4.52,EC,1731480006
41,nha trang,12.25,109.1833,302.15,72,57,2.87,VN,1731480302
42,crane,31.3974,-102.3501,291.33,85,3,2.87,US,1731480303
43,santa cruz,-17.8,-63.1667,290.85,77,75,5.14,BO,1731479989
44,kynsperk nad ohri,50.1189,12.5303,274.49,99,100,0.65,CZ,1731480305
45,gadzhiyevo,69.2551,33.3362,275.99,85,100,7.22,RU,1731480306
46,lihue,21.9789,-159.3672,296.92,74,75,7.72,US,1731480307
47,bredasdorp,-34.5322,20.0403,292.26,53,47,5.0,ZA,1731480308
48,nyaungdon,17.0333,95.65,303.75,64,4,3.02,MM,1731480309
49,kokshetau,53.2775,69.3883,265.33,86,75,7.0,KZ,1731480310
50,fale old settlement,-9.3852,-171.2468,302.32,75,4,8.44,TK,1731480311
51,ancud,-41.8697,-73.8203,282.92,93,100,1.06,CL,1731480313
52,edinburgh of the seven seas,-37.0676,-12.3116,289.41,92,100,8.16,SH,1731480314
53,leh,34.1667,77.5833,274.48,29,93,1.83,IN,1731480315
54,thompson,55.7435,-97.8558,277.24,75,75,4.12,CA,1731480316
55,kavieng,-2.5744,150.7967,302.06,73,20,2.36,PG,1731480317
56,college,64.8569,-147.8028,255.87,71,75,1.54,US,1731480318
57,arawa,-6.2132,155.5367,298.3,95,100,2.43,PG,1731480319
58,kodiak,57.79,-152.4072,274.88,60,0,8.23,US,1731480320
59,kirakira,-10.4544,161.9205,300.38,85,100,2.65,SB,1731480321
60,lagunas,-5.2269,-75.6753,295.42,94,100,0.88,PE,1731480322
61,mejit,10.2753,170.8646,301.78,71,6,7.56,MH,1731480324
62,wailua homesteads,22.0669,-159.378,296.59,83,75,7.72,US,1731480325
63,kingston,17.997,-76.7936,298.68,94,75,3.6,JM,1731480326
64,sao gabriel da cachoeira,-0.1303,-67.0892,298.2,82,94,0.39,BR,1731480327
65,ust-nera,64.5667,143.2,242.2,98,82,0.87,RU,1731480328
66,caninde,-4.3589,-39.3117,296.89,77,60,0.82,BR,1731480329
67,hermanus,-34.4187,19.2345,292.48,64,19,6.47,ZA,1731480330
68,puerto natales,-51.7236,-72.4875,280.83,78,100,4.2,CL,1731480299
69,yellowknife,62.456,-114.3525,262.82,96,100,4.12,CA,1731480288
70,qaqortoq,60.7167,-46.0333,274.92,95,100,5.41,GL,1731480333
71,udachny,66.4167,112.4,258.44,96,100,0.74,RU,1731480335
72,stanley,54.868,-1.6985,278.16,100,20,4.63,GB,1731480336
